,Total Volume,month,region,year
301,1831916.0,Feb,MiamiFtLauderdale,2015.0
302,11823925.0,Feb,Midsouth,2015.0
303,5267939.0,Feb,NewYork,2015.0
304,15026037.0,Feb,Northeast,2015.0
305,1749677.0,Feb,Philadelphia,2015.0
306,5065681.0,Feb,PhoenixTucson,2015.0
307,7568540.0,Feb,Plains,2015.0
308,2234583.0,Feb,Portland,2015.0
309,2028695.0,Feb,Sacramento,2015.0
310,2201152.0,Feb,SanDiego,2015.0
311,3901284.0,Feb,SanFrancisco,2015.0
312,2493971.0,Feb,Seattle,2015.0
313,23536576.0,Feb,SouthCentral,2015.0
314,13007774.0,Feb,Southeast,2015.0
315,137503440.0,Feb,TotalUS,2015.0
316,26096211.0,Feb,West,2015.0
317,3185019.0,Feb,WestTexNewMexico,2015.0
318,1728319.0,Jan,Atlanta,2015.0
319,2883524.0,Jan,BaltimoreWashington,2015.0
320,1748752.0,Jan,Boston,2015.0
321,22920432.0,Jan,California,2015.0
322,3183213.0,Jan,Chicago,2015.0
323,4360934.0,Jan,DallasFtWorth,2015.0
324,2956418.0,Jan,Denver,2015.0
325,12622567.0,Jan,GreatLakes,2015.0
326,4164705.0,Jan,Houston,2015.0
327,10722981.0,Jan,LosAngeles,2015.0
328,1693236.0,Jan,MiamiFtLauderdale,2015.0
329,9956951.0,Jan,Midsouth,2015.0
330,4623953.0,Jan,NewYork,2015.0
331,13294621.0,Jan,Northeast,2015.0
332,4535360.0,Jan,PhoenixTucson,2015.0
333,6404105.0,Jan,Plains,2015.0
334,2141317.0,Jan,Portland,2015.0
335,1650458.0,Jan,Sacramento,2015.0
336,1938714.0,Jan,SanDiego,2015.0
337,3412453.0,Jan,SanFrancisco,2015.0
338,2199923.0,Jan,Seattle,2015.0
339,21249906.0,Jan,SouthCentral,2015.0
340,11111798.0,Jan,Southeast,2015.0
341,120453518.0,Jan,TotalUS,2015.0
342,22893134.0,Jan,West,2015.0
343,2819489.0,Jan,WestTexNewMexico,2015.0
344,1902233.0,Dec,Atlanta,2016.0
345,2469401.0,Dec,BaltimoreWashington,2016.0
346,2062392.0,Dec,Boston,2016.0
347,21427876.0,Dec,California,2016.0
348,2770274.0,Dec,Chicago,2016.0
349,4797503.0,Dec,DallasFtWorth,2016.0
350,3209128.0,Dec,Denver,2016.0
351,1543650.0,Dec,Detroit,2016.0
352,13141445.0,Dec,GreatLakes,2016.0
353,4577259.0,Dec,Houston,2016.0
354,10897135.0,Dec,LosAngeles,2016.0
355,2500340.0,Dec,MiamiFtLauderdale,2016.0
356,9442577.0,Dec,Midsouth,2016.0
357,4620349.0,Dec,NewYork,2016.0
358,13953397.0,Dec,Northeast,2016.0
359,4596723.0,Dec,PhoenixTucson,2016.0
360,6192525.0,Dec,Plains,2016.0
361,2719004.0,Dec,Portland,2016.0
362,1579815.0,Dec,Sacramento,2016.0
363,1963335.0,Dec,SanDiego,2016.0
364,2596795.0,Dec,SanFrancisco,2016.0
365,2467643.0,Dec,Seattle,2016.0
366,22126389.0,Dec,SouthCentral,2016.0
367,13937711.0,Dec,Southeast,2016.0
368,1671756.0,Dec,Tampa,2016.0
369,124987139.0,Dec,TotalUS,2016.0
370,24765215.0,Dec,West,2016.0
371,3186319.0,Dec,WestTexNewMexico,2016.0
372,1664207.0,Nov,Atlanta,2016.0
373,2256006.0,Nov,BaltimoreWashington,2016.0
374,1671201.0,Nov,Boston,2016.0
375,16143478.0,Nov,California,2016.0
376,2191946.0,Nov,Chicago,2016.0
377,3642146.0,Nov,DallasFtWorth,2016.0
378,2274071.0,Nov,Denver,2016.0
379,10104549.0,Nov,GreatLakes,2016.0
380,3440805.0,Nov,Houston,2016.0
381,8292907.0,Nov,LosAngeles,2016.0
382,1782174.0,Nov,MiamiFtLauderdale,2016.0
383,8451479.0,Nov,Midsouth,2016.0
384,3792194.0,Nov,NewYork,2016.0
385,11499190.0,Nov,Northeast,2016.0
386,3813740.0,Nov,PhoenixTucson,2016.0
387,4918926.0,Nov,Plains,2016.0
388,1917350.0,Nov,Portland,2016.0
389,2071454.0,Nov,SanFrancisco,2016.0
390,1891703.0,Nov,Seattle,2016.0
391,17173310.0,Nov,SouthCentral,2016.0
392,10732156.0,Nov,Southeast,2016.0
393,97906206.0,Nov,TotalUS,2016.0
394,18883113.0,Nov,West,2016.0
395,2722710.0,Nov,WestTexNewMexico,2016.0
396,2250659.0,Oct,Atlanta,2016.0
397,3182947.0,Oct,BaltimoreWashington,2016.0
398,2243905.0,Oct,Boston,2016.0
399,23480940.0,Oct,California,2016.0
400,2500451.0,Oct,Chicago,2016.0
401,5118949.0,Oct,DallasFtWorth,2016.0
402,3375855.0,Oct,Denver,2016.0
403,13215176.0,Oct,GreatLakes,2016.0
404,4769578.0,Oct,Houston,2016.0
405,12103162.0,Oct,LosAngeles,2016.0
406,2332878.0,Oct,MiamiFtLauderdale,2016.0
407,12383574.0,Oct,Midsouth,2016.0
408,4598419.0,Oct,NewYork,2016.0
409,15387638.0,Oct,Northeast,2016.0
410,1636068.0,Oct,Philadelphia,2016.0
411,3908162.0,Oct,PhoenixTucson,2016.0
412,6399581.0,Oct,Plains,2016.0
413,3178050.0,Oct,Portland,2016.0
414,1602052.0,Oct,Sacramento,2016.0
415,2139624.0,Oct,SanDiego,2016.0
416,2965686.0,Oct,SanFrancisco,2016.0
417,3200786.0,Oct,Seattle,2016.0
418,24227073.0,Oct,SouthCentral,2016.0
419,14689171.0,Oct,Southeast,2016.0
420,1596450.0,Oct,Tampa,2016.0
421,135775521.0,Oct,TotalUS,2016.0
422,25992364.0,Oct,West,2016.0
423,3362850.0,Oct,WestTexNewMexico,2016.0
424,2220143.0,Sep,Atlanta,2016.0
425,3142905.0,Sep,BaltimoreWashington,2016.0
426,2250777.0,Sep,Boston,2016.0
427,24917535.0,Sep,California,2016.0
428,2568389.0,Sep,Chicago,2016.0
429,5328693.0,Sep,DallasFtWorth,2016.0
430,3234281.0,Sep,Denver,2016.0
431,12492331.0,Sep,GreatLakes,2016.0
432,4898278.0,Sep,Houston,2016.0
433,12320963.0,Sep,LosAngeles,2016.0
434,2457531.0,Sep,MiamiFtLauderdale,2016.0
435,12045099.0,Sep,Midsouth,2016.0
436,5199484.0,Sep,NewYork,2016.0
437,15919860.0,Sep,Northeast,2016.0
438,1806980.0,Sep,Philadelphia,2016.0
439,4087665.0,Sep,PhoenixTucson,2016.0
440,6880310.0,Sep,Plains,2016.0
441,2704217.0,Sep,Portland,2016.0
442,1760444.0,Sep,Sacramento,2016.0
443,2126858.0,Sep,SanDiego,2016.0
444,3480721.0,Sep,SanFrancisco,2016.0
445,2577220.0,Sep,Seattle,2016.0
446,25109312.0,Sep,SouthCentral,2016.0
447,15139884.0,Sep,Southeast,2016.0
448,1608024.0,Sep,Tampa,2016.0
449,136744721.0,Sep,TotalUS,2016.0
450,24240386.0,Sep,West,2016.0
451,3267310.0,Sep,WestTexNewMexico,2016.0
452,2331901.0,Aug,Atlanta,2016.0
453,3018169.0,Aug,BaltimoreWashington,2016.0
454,2332596.0,Aug,Boston,2016.0
455,26458531.0,Aug,California,2016.0
456,2633837.0,Aug,Chicago,2016.0
457,5083855.0,Aug,DallasFtWorth,2016.0
458,2984577.0,Aug,Denver,2016.0
459,12713314.0,Aug,GreatLakes,2016.0
460,4258903.0,Aug,Houston,2016.0
461,13103421.0,Aug,LosAngeles,2016.0
462,2354287.0,Aug,MiamiFtLauderdale,2016.0
463,11933147.0,Aug,Midsouth,2016.0
464,5182631.0,Aug,NewYork,2016.0
465,16998603.0,Aug,Northeast,2016.0
466,1942813.0,Aug,NorthernNewEngland,2016.0
467,1686750.0,Aug,Philadelphia,2016.0
468,5369634.0,Aug,PhoenixTucson,2016.0
469,7452534.0,Aug,Plains,2016.0
470,2677992.0,Aug,Portland,2016.0
471,1873309.0,Aug,Sacramento,2016.0
472,2295011.0,Aug,SanDiego,2016.0
473,3600684.0,Aug,SanFrancisco,2016.0
474,2518238.0,Aug,Seattle,2016.0
475,1540542.0,Aug,SouthCarolina,2016.0
476,23335085.0,Aug,SouthCentral,2016.0
477,15235508.0,Aug,Southeast,2016.0
478,1601060.0,Aug,Tampa,2016.0
479,139879340.0,Aug,TotalUS,2016.0
480,25752614.0,Aug,West,2016.0
481,3276183.0,Aug,WestTexNewMexico,2016.0
482,2938170.0,Jul,Atlanta,2016.0
483,3912270.0,Jul,BaltimoreWashington,2016.0
484,2701003.0,Jul,Boston,2016.0
485,33050215.0,Jul,California,2016.0
486,3786063.0,Jul,Chicago,2016.0
487,6006044.0,Jul,DallasFtWorth,2016.0
488,3919481.0,Jul,Denver,2016.0
489,1773024.0,Jul,Detroit,2016.0
490,17452420.0,Jul,GreatLakes,2016.0
491,5329828.0,Jul,Houston,2016.0
492,1631304.0,Jul,LasVegas,2016.0
493,16277709.0,Jul,LosAngeles,2016.0
494,2996138.0,Jul,MiamiFtLauderdale,2016.0
495,15805262.0,Jul,Midsouth,2016.0
496,6131290.0,Jul,NewYork,2016.0
497,20955748.0,Jul,Northeast,2016.0
498,2472687.0,Jul,NorthernNewEngland,2016.0
499,1940574.0,Jul,Orlando,2016.0
500,2054685.0,Jul,Philadelphia,2016.0
501,4767677.0,Jul,PhoenixTucson,2016.0
502,9932715.0,Jul,Plains,2016.0
503,3373794.0,Jul,Portland,2016.0
504,1505692.0,Jul,RaleighGreensboro,2016.0
505,2482701.0,Jul,Sacramento,2016.0
506,2873828.0,Jul,SanDiego,2016.0
507,4300684.0,Jul,SanFrancisco,2016.0
508,3298421.0,Jul,Seattle,2016.0
509,1982700.0,Jul,SouthCarolina,2016.0
510,28865722.0,Jul,SouthCentral,2016.0
511,19573739.0,Jul,Southeast,2016.0
512,2062937.0,Jul,Tampa,2016.0
